,mileage_per_year,model_year,price,sold
0,21801,2000,30941.02,yes
1,7843,1998,40557.96,yes
2,7109,2006,89627.5,no
3,26823,2015,95276.14,no
4,7935,2014,117384.68,yes
5,14661,2007,55405.26,yes
6,9990,2002,93415.61,yes
7,11599,2008,65265.09,no
8,7834,1999,43917.53,yes
9,14913,2003,107860.41,yes
10,14065,2016,75668.42,no
11,15095,2001,97411.7,no
12,16534,2009,91062.94,no
13,21998,2007,73156.01,no
14,7133,2005,82622.46,yes
15,12453,2002,64115.99,yes
16,9936,2006,48974.9,yes
17,22052,2011,28007.36,yes
18,14093,2015,94217.51,no
19,15922,2000,111136.8,yes
20,20400,2014,37384.17,yes
21,9354,2012,36271.82,yes
22,20370,1999,82597.52,no
23,7777,2002,81831.93,no
24,15562,2013,92271.67,no
25,14568,2002,55734.53,yes
26,12160,2004,67789.32,yes
27,12391,1999,71840.26,no
28,12874,2007,25413.75,yes
29,11018,2004,64497.7,no
30,16430,2007,76894.04,no
31,20295,2013,48359.62,yes
32,16790,2002,56539.06,no
33,12467,2006,81757.83,no
34,13998,2000,80965.58,no
35,26928,1998,82776.88,no
36,15991,2003,61589.78,no
37,15377,2006,66655.85,no
38,17362,2011,85107.04,no
39,7674,2007,113990.61,no
40,21256,2002,29338.23,yes
41,14363,2003,57463.74,no
42,12108,2008,41296.05,no
43,23908,2001,96446.05,no
44,11422,2001,53993.85,yes
45,14670,2008,64387.6,no
46,13070,2008,116393.77,no
47,8761,2015,75332.79,no
48,25971,2000,53268.18,no
49,11442,2000,102184.72,no
50,16932,2013,107433.92,no
51,15780,2006,93167.18,no
52,17456,2008,88662.57,no
53,15088,2006,25889.56,yes
54,19412,2008,70653.63,no
55,15439,2002,76666.68,no
56,16056,1999,106302.54,yes
57,24778,2006,43890.33,yes
58,12882,1998,62553.77,yes
59,21616,2008,46776.67,yes
60,15590,2000,34985.57,yes
61,17635,2013,80251.29,no
62,9047,1998,54196.09,yes
63,22674,2001,16736.17,yes
64,11113,2004,45467.13,yes
65,10041,2001,42956.65,yes
66,5584,2007,85338.55,yes
67,15164,1999,12017.79,yes
68,11609,2000,105524.5,yes
69,20954,1999,49745.4,yes
70,17009,1999,95592.87,no
71,11399,2010,86444.77,yes
72,10358,2000,33596.02,yes
73,23972,2012,75782.68,no
74,10932,2014,84454.22,no
75,13589,2006,81748.68,no
76,9188,2004,18576.43,yes
77,11223,2010,64773.76,no
78,21195,1998,31250.34,yes
79,18843,2006,46864.83,yes
80,16139,1999,18905.64,yes
81,6421,2005,90767.87,no
82,12056,2004,92508.98,no
83,17380,1999,90378.63,no
84,9945,2006,42569.3,yes
85,16835,2008,62620.45,no
86,4312,1998,60101.5,yes
87,13129,2004,48978.94,yes
88,28915,2013,69271.08,no
89,15844,1999,82495.58,no
90,12962,1999,11979.47,yes
91,9498,2005,77816.76,no
92,15894,2002,41273.9,yes
93,11118,2008,103459.05,yes
94,12453,2011,73901.01,no
95,13032,2003,75390.33,no
96,14120,2010,75457.92,yes
97,13791,2002,75285.5,yes
98,8575,2000,95177.42,yes
99,22968,2004,95676.08,no
100,17000,2002,45343.51,yes
101,18472,1998,96467.94,no
102,5735,1998,90684.94,no
103,12248,2012,43390.38,yes
104,13247,2011,105329.2,no
105,9619,2011,84517.72,yes
106,10606,1998,61696.4,no
107,16712,2000,38245.75,yes
108,11738,2005,79957.38,yes
109,8508,2003,91674.9,no
110,11269,2007,96028.69,no
111,8872,2015,103326.66,yes
112,9066,2012,107562.56,no
113,11377,2005,35738.06,yes
114,14474,2005,32582.02,yes
115,13381,2002,26871.75,yes
116,11022,2003,103336.64,yes
117,11193,2004,44303.89,no
118,14089,1999,58770.23,yes
119,18211,2011,95838.99,no
120,14542,2003,80921.29,no
121,14067,2005,94786.28,no
122,16491,1998,102461.86,yes
123,19852,1999,66761.79,no
124,9909,2009,95016.78,yes
125,12838,1999,23334.06,yes
126,9424,2010,66311.2,no
127,10709,2002,20199.69,yes
128,15156,2012,74419.32,no
129,13732,2012,76829.64,no
130,7450,2000,72033.52,no
131,22705,2002,101257.79,yes
132,16234,2012,41923.42,yes
133,10780,2001,16547.2,yes
134,12135,1999,94912.13,no
135,12268,2013,39284.89,yes
136,11484,2006,58005.41,yes
137,15245,2006,22629.92,yes
138,9399,2012,66930.86,no
139,20600,1999,40436.0,no
140,17420,2005,51383.65,yes
141,12522,2009,79893.16,yes
142,9232,1999,72450.5,no
143,17593,1999,56535.6,yes
144,13054,2001,81437.98,no
145,15773,2005,66587.22,no
146,13071,2005,96076.38,no
147,10193,1998,98132.27,yes
148,14789,2008,99431.8,no
149,12578,2005,35021.38,yes
150,15076,2004,96253.86,no
151,14386,1999,84931.89,no
152,15169,2009,45154.74,yes
153,9336,2004,78835.63,yes
154,10525,1998,58980.31,yes
155,11770,2014,64465.21,yes
156,14115,2005,38315.73,yes
157,6642,2011,90298.67,no
158,9555,2008,52555.22,no
159,16119,2000,24441.23,yes
160,13801,2009,107431.11,no
161,6762,2008,64096.95,no
162,11849,2013,53669.06,yes
163,19474,2000,60693.34,no
164,24462,2009,83884.53,no
165,10766,1999,68563.86,yes
166,16572,2001,82261.92,no
167,19600,2002,116027.14,yes
168,16277,2004,33361.66,yes
169,11304,2013,40174.67,no
170,14425,2007,100872.41,no
171,13889,2004,91729.32,yes
172,7735,2007,37220.88,yes
173,13731,1998,42932.35,yes
174,7653,2012,105354.79,no
175,24182,2006,70237.57,no
176,18551,1998,27085.34,yes
177,8082,2004,103986.22,no
178,18648,1999,53868.23,yes
179,8388,2002,103445.43,no
180,19636,2004,50956.1,no
181,11228,2003,41999.23,yes
182,12000,2000,42653.18,yes
183,8840,2004,98138.6,no
184,25383,2002,77999.11,no
185,12823,2007,30009.3,yes
186,13733,2008,97198.21,no
187,12135,2002,46167.55,yes
188,13811,2006,33977.16,yes
189,12200,2013,101201.24,no
190,10308,2003,24148.18,yes
191,18779,2007,83091.96,no
192,6970,2006,38810.77,yes
193,12030,1999,64021.74,no
194,6736,2001,59679.59,yes
195,19236,1998,70260.51,yes
196,21644,1998,33855.29,yes
197,14808,2001,90108.76,yes
198,7749,2015,70021.62,no
199,12183,2012,88631.4,yes
200,12076,2006,94664.91,no
201,6546,2007,99968.88,no
202,6496,2008,50061.13,yes
203,10779,2004,60974.59,yes
204,15667,2000,82931.27,no
205,17929,1999,39039.59,yes
206,18390,2010,53963.73,yes
207,8379,2002,15305.7,yes
208,8596,2011,45718.37,no
209,10860,2006,96180.51,yes
210,8724,2007,39007.92,yes
211,24981,1999,88150.84,no
212,11143,2008,97110.55,yes
213,26091,2006,86931.31,no
214,12248,2000,24341.89,yes
215,9074,2011,42751.8,yes
216,19545,2003,71739.52,no
217,6040,2006,65241.32,no
218,7796,1999,73067.51,yes
219,12084,1998,60570.37,yes
220,10753,2000,64984.26,no
221,10775,2002,80657.07,yes
222,11071,2003,83781.08,no
223,25049,2001,23448.52,yes
224,11609,2001,39346.34,yes
225,22207,2006,71532.28,no
226,27565,2000,70118.54,no
227,8425,2003,70719.34,yes
228,11259,1998,36936.61,yes
229,11122,2008,95422.54,yes
230,14190,2000,60788.08,no
231,14122,1998,73153.25,yes
232,14259,1999,72758.98,no
233,11893,2001,41366.51,yes
234,28868,2013,54764.77,no
235,11921,2005,62605.17,yes
236,11130,2006,37530.15,yes
237,9755,1998,61726.41,no
238,11346,2011,67703.88,no
239,21484,2002,65691.55,no
240,9761,2008,38234.77,yes
241,27781,2001,97033.21,no
242,16090,2007,34119.04,yes
243,10899,2002,95342.37,no
244,18872,2003,65200.08,no
245,21936,2006,73548.4,no
246,13432,1999,40769.51,yes
247,27036,2003,48927.78,yes
248,14989,2000,80858.31,no
249,8315,2003,48885.2,yes
250,20589,2003,35631.97,yes
251,25915,2007,79025.54,no
252,15216,2007,49590.78,no
253,8393,2002,24614.46,yes
254,14597,2006,85914.82,no
255,8809,2013,84192.06,yes
256,13138,2016,110558.98,no
257,14464,2004,78617.01,no
258,27585,2001,58933.0,yes
259,13468,2011,45677.29,yes
260,9994,2000,78547.52,yes
261,18208,2001,41605.44,yes
262,8779,1999,30481.01,yes
263,14259,2010,105677.42,yes
264,10178,2004,45817.6,yes
265,20550,2009,96407.65,no
266,18194,1998,80183.01,no
