id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17878,"Very Nice 2Br in Copacabana w. balcony, fast WiFi",68997,Matthias,,Copacabana,-22.96599,-43.1794,Entire home/apt,350,5,266,2021-05-21,2.07,1,262,12,
24480,"Nice and cozy near Ipanema Beach, w/ home office",99249,Goya,,Ipanema,-22.98405,-43.20189,Entire home/apt,296,3,85,2017-04-22,0.85,1,57,0,
25026,Beautiful Modern Decorated Studio in Copa,102840,Viviane,,Copacabana,-22.97735,-43.19105,Entire home/apt,168,4,238,2019-04-27,1.84,1,300,0,
35636,Cosy flat close to Ipanema beach,153232,Patricia,,Ipanema,-22.98839,-43.19232,Entire home/apt,278,2,181,2019-12-06,1.90,1,179,0,
35764,COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,153691,Patricia Miranda & Paulo,,Copacabana,-22.98107,-43.19136,Entire home/apt,150,3,373,2019-06-15,3.05,1,59,34,
48305,Bright 6bed Penthouse Seconds from Beach,70933,Goitaca,,Ipanema,-22.98591,-43.20302,Entire home/apt,2410,2,86,2021-09-30,0.82,8,334,15,
48726,Rio de Janeiro Copacabana Ipanema,221941,Vana,,Copacabana,-22.98528,-43.19264,Private room,112,3,42,2019-08-08,0.87,2,24,0,
48901,Confortable 4BD 3.5BT Atlantic avenue,222884,Marcio,,Copacabana,-22.96574,-43.17514,Entire home/apt,687,3,5,2015-08-13,0.07,1,56,1,
49179,Djalma Ocean View Studio with Amazing Views #100A,224192,David,,Copacabana,-22.9791,-43.19008,Entire home/apt,190,3,102,2020-10-09,0.96,34,162,16,
50294,Ipanema Beach Block Suites Just Seconds from the Beach,70933,Goitaca,,Ipanema,-22.98584,-43.20305,Entire home/apt,1020,2,74,2021-07-07,0.66,8,334,1,
