unfinished,expected_hours,price
1,26,192
1,88,9015
1,89,2577
1,42,275
1,39,170
1,33,173
1,64,1965
1,99,1993
1,45,278
0,96,12479
1,73,1228
1,3,184
1,84,2704
1,55,1060
1,97,8279
1,39,298
1,97,11888
1,37,278
0,84,1135
1,2,103
1,66,411
1,36,183
1,72,1704
1,95,5954
1,24,192
1,66,1206
1,74,2820
1,93,4026
1,22,111
1,58,1065
1,98,13985
1,31,151
1,26,139
1,29,152
1,63,1962
0,39,160
1,77,3815
1,62,1646
1,75,268
0,95,4114
1,43,231
1,81,5827
1,78,3344
1,81,4043
1,32,148
1,48,515
0,68,3085
1,12,118
1,81,601
1,54,117
1,18,139
1,11,129
1,31,123
1,50,172
1,52,313
1,22,185
1,86,5642
1,75,1925
1,62,1683
1,8,163
0,60,984
0,53,712
1,71,2715
1,84,2902
1,70,2710
1,15,174
1,93,13836
1,13,161
1,81,1260
1,77,1184
0,65,1175
1,75,726
1,64,1808
1,17,107
1,79,2255
1,48,198
1,81,330
1,60,959
1,70,1466
1,66,727
1,45,324
1,21,143
1,70,1531
1,24,113
1,8,187
1,100,7327
1,98,16620
0,67,1910
1,49,678
0,2,101
1,74,2253
1,75,1261
0,20,151
1,58,1491
1,45,211
1,56,220
1,87,450
1,81,6071
1,30,223
1,18,128
0,47,464
0,16,184
0,82,1973
1,36,213
0,12,176
1,73,205
1,2,127
1,32,231
1,87,2033
1,37,137
1,37,235
1,2,144
0,10,165
1,79,4743
1,41,367
1,97,14683
1,40,246
1,1,145
1,63,1681
0,90,5329
1,13,171
1,44,142
1,5,197
1,43,333
0,73,1847
1,80,3857
1,56,644
1,43,374
1,49,731
0,44,212
0,31,157
1,97,4274
1,82,4872
0,84,2576
1,67,1718
1,40,287
1,89,1533
1,52,798
1,92,7513
1,26,119
1,56,755
1,15,187
1,12,189
1,41,222
1,55,1124
1,8,147
1,91,4486
1,17,199
0,4,147
1,81,5436
0,99,9564
0,62,528
0,85,4280
1,6,170
1,75,839
1,42,302
1,66,295
1,66,874
1,1,196
1,84,6442
1,80,1386
1,53,567
0,58,951
1,5,144
1,36,178
1,73,1741
1,47,436
1,46,476
1,88,8774
1,70,1870
1,7,197
1,49,474
1,66,336
1,59,363
0,27,198
1,93,1815
1,75,3643
1,43,262
1,19,124
1,87,3174
1,16,177
1,53,169
1,16,183
0,70,2180
0,13,154
1,41,271
1,81,4122
1,95,8864
1,94,9752
1,20,122
1,73,295
1,84,6328
1,70,2889
1,60,707
1,14,134
1,47,456
1,74,1399
1,98,17515
0,63,664
1,71,194
1,84,1983
0,62,589
1,29,183
1,12,150
1,9,197
1,39,153
1,6,183
0,48,252
1,69,734
0,9,114
1,48,599
1,35,140
1,60,1447
1,24,153
0,69,1142
1,34,199
1,62,352
1,24,176
1,74,1833
1,54,198
1,12,152
1,28,128
1,33,202
1,73,4001
1,29,154
1,28,181
1,100,8291
0,50,756
1,58,1334
0,63,2071
0,9,128
1,77,2536
1,77,1178
1,14,125
1,99,2577
0,26,185
1,63,2110
0,27,169
1,92,6660
0,93,7824
1,51,383
0,81,3051
1,49,159
1,39,220
1,34,157
1,19,154
1,63,981
0,58,1063
0,2,166
1,41,132
1,54,900
1,67,1881
1,70,305
1,23,128
1,95,10312
1,80,3984
1,58,939
0,46,347
1,91,7255
1,63,1756
1,68,1503
1,51,175
1,13,109
1,77,358
1,36,221
0,16,150
1,84,6438
1,23,112
0,87,4281
1,12,114
0,2,179
1,53,827
1,84,968
1,77,2582
1,80,2920
1,92,3772
1,29,128
1,34,217
1,93,3668
1,100,13998
1,24,180
1,8,122
0,99,4085
1,66,594
0,69,2425
0,66,310
1,48,577
1,43,426
1,48,410
1,82,2256
1,49,677
0,67,201
1,34,254
1,41,265
1,25,163
1,75,2924
1,86,5815
0,46,270
1,60,1509
1,11,119
0,43,408
1,53,885
1,4,129
1,60,1300
1,43,152
0,61,695
1,63,1263
1,80,1976
0,34,189
1,12,118
1,99,17945
1,74,4434
1,86,342
1,13,100
1,13,125
1,77,488
1,41,207
1,56,488
1,90,2759
1,33,135
1,6,105
1,59,405
1,51,384
0,28,132
1,6,161
1,42,131
1,45,191
1,25,201
1,9,120
1,71,646
1,29,126
1,46,183
1,39,147
1,47,389
1,19,133
1,40,205
0,3,160
1,86,3920
1,68,2018
1,88,9364
0,58,1170
1,48,563
1,52,693
0,69,1241
1,77,2584
1,85,7354
1,3,168
0,63,643
1,63,1077
1,62,1251
1,99,11429
1,10,190
1,99,13076
1,51,719
